carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
67acb4c537ed58f05643b26f,683870e16a4bd2c6d900f2a6,Roger Cleveland Golf  Huntington Beach,DELIVERLOAD,True,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
67acb4c537ed58f05643b26f,67f52524a991e79d007c75f1,Ross Stores - Moreno Valley,DELIVERLOAD,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
67acb4c537ed58f05643b26f,67f52524a991e79d007c75f2,Ross SWDC - Perris,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,67f52526ffb3dc66fb707500,SCE - Manville Yard - Compton,HOOKCONTAINER,False,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
67acb4c537ed58f05643b26f,67acb4cf37ed58f05643b631,SHIPPERS TRANSPORT CARSON,PULLCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
67acb4c537ed58f05643b26f,67f5252ea991e79d007c76d7,The Outdoor Recreation Group - Eastvale,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
67acb4c537ed58f05643b26f,683dde250af64be742715ac8,Timberland - Ontario,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,683dde250af64be742715ac8,Timberland - Ontario,DELIVERLOAD,True,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
67acb4c537ed58f05643b26f,67f5252ea991e79d007c76ee,Toyota North American Parts Center - Ontario,DELIVERLOAD,False,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
67acb4c537ed58f05643b26f,67f5252ea991e79d007c76ee,Toyota North American Parts Center - Ontario,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
67acb4c537ed58f05643b26f,67acb4c837ed58f05643b400,TRAPAC WILMINGTON,PULLCONTAINER,False,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
67acb4c537ed58f05643b26f,67f5252ea991e79d007c76fc,Trojan Battery Company - Santa Fe Springs - Santa Fe Springs,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,67f52531ffb3dc66fb7075fe,Under Armour - Rialto,DELIVERLOAD,False,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
67acb4c537ed58f05643b26f,67f52531ffb3dc66fb7075fe,Under Armour - Rialto,DELIVERLOAD,True,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
67acb4c537ed58f05643b26f,67f52531ffb3dc66fb70760b,United Legwear Distribution - Beaumont,DELIVERLOAD,False,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
67acb4c537ed58f05643b26f,67acb4cf37ed58f05643b61d,UP LONG BEACH,PULLCONTAINER,False,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
67acb4c537ed58f05643b26f,67acb4c937ed58f05643b43f,WBCT,PULLCONTAINER,False,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
67acb4c537ed58f05643b26f,67f525335b2f18677c986ea4,Wbct - San Pedro,STOPOFF,False,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
67acb4c537ed58f05643b26f,683f6b0b39c65cdf722e890c,"World Pack - Irwindale, CA",DELIVERLOAD,True,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
67acb4c537ed58f05643b26f,67acb4cb37ed58f05643b502,YTI,RETURNCONTAINER,False,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
