carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5f58f604f7be2c07e8d727c9,681e1f87581022e8976e2425,AGS Transport Inc,DELIVERLOAD,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5f58f604f7be2c07e8d727c9,681e1f87581022e8976e2425,AGS Transport Inc,HOOKCONTAINER,False,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
5f58f604f7be2c07e8d727c9,6707fc5d5c681bcd5631f7d5,AKRON RUBBER & TIRE,DELIVERLOAD,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
5f58f604f7be2c07e8d727c9,67dd618bdda1ce061efe8e8a,Albemarle Cotton Grower,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,6578b7e93262a0161e87ae52,ALFA LAVAL INC,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,636a839197b3e815d2962a6c,ALLIED BOLT C/O EFW WAREHOUSING C/O EFW WAREHOUSING,DELIVERLOAD,False,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5f58f604f7be2c07e8d727c9,67e012063121f46b0b1d138a,ALLIED FITTING,DELIVERLOAD,True,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
5f58f604f7be2c07e8d727c9,67e162f69e1a11d10b2f96d8,ALLIED FITTING LP,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,67e162f69e1a11d10b2f96d8,ALLIED FITTING LP,DELIVERLOAD,True,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
5f58f604f7be2c07e8d727c9,67e161568e34d3da73073be1,ALLIED STAINLESS GROUP,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,67e161568e34d3da73073be1,ALLIED STAINLESS GROUP,DELIVERLOAD,True,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
5f58f604f7be2c07e8d727c9,6893975338f2e5a6eb25577f,ALL STORAGE,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,669fd25c6efd91fe8400a803,AL- North Garden Yard,DELIVERLOAD,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5f58f604f7be2c07e8d727c9,669fd25c6efd91fe8400a803,AL- North Garden Yard,DELIVERLOAD,True,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
5f58f604f7be2c07e8d727c9,6882aca0a64d2e8f1c895432,altea ceramics,DELIVERLOAD,False,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
5f58f604f7be2c07e8d727c9,66982b1b25a1bf321eee73c0,AL-Waynesboro,DELIVERLOAD,True,45,45,45,45,45,45,45,45,54,36,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
5f58f604f7be2c07e8d727c9,67b9026d65c27340e7a4b986,AL-West Point Yard,DELIVERLOAD,True,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
5f58f604f7be2c07e8d727c9,68bb00b18e9d30e129713ba4,Amada America,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,655e6881f54005160be0ad8a,AMADA AMERICA,DELIVERLOAD,True,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
5f58f604f7be2c07e8d727c9,6877c376845b62f48399e1e4,Amazon HEA2,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,68b2154d04ffbe3767d52341,Amazon HGR6,DELIVERLOAD,False,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
5f58f604f7be2c07e8d727c9,68b216323003851307e4c699,Amazon HIA1,DELIVERLOAD,False,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
