carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
60819676ae88e5182fc02995,6408e75e09217d162b14a4c5,Air Liquide Electronics U.S. LP,HOOKCONTAINER,False,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
60819676ae88e5182fc02995,6841fe5e562f20eb070006eb,Ajax Tocco Magnethermic Corporation,DELIVERLOAD,True,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
60819676ae88e5182fc02995,67ffa752af56bc2a4568be76,ALADDIN BAKERS INC,DELIVERLOAD,True,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
60819676ae88e5182fc02995,632c8ebdf6450c15cc73b6c9,ALBANY SAFRAN COMPOSITES LLC,DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60819676ae88e5182fc02995,632c8ebdf6450c15cc73b6c9,ALBANY SAFRAN COMPOSITES LLC,DELIVERLOAD,True,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
60819676ae88e5182fc02995,67b609ca64985844310dfc7a,ALDRICH CHEMICALS CO LLC,DELIVERLOAD,True,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
60819676ae88e5182fc02995,68af4f5162b782b671c5b52a,"ALEXANDRIA NE, LLC",DELIVERLOAD,False,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
60819676ae88e5182fc02995,636d5201186cf715a06f2933,ALLEGION ACCESS TECHNOLOGIES LLC,DELIVERLOAD,False,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
60819676ae88e5182fc02995,68669d7ab6cba0fbb40deab6,ALLIANCE SHEETS LLC,DELIVERLOAD,True,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
60819676ae88e5182fc02995,68751d0b57ac4fd8c5dc15ec,ALLIED CONVERTERS,DELIVERLOAD,False,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
60819676ae88e5182fc02995,633de7d1c2dd7b15cf70207f,ALL ROUND FOODS,DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60819676ae88e5182fc02995,633de7d1c2dd7b15cf70207f,ALL ROUND FOODS,DELIVERLOAD,True,148,148,148,148,148,148,148,145,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
60819676ae88e5182fc02995,686ec51658fcae111d4f576a,ALL SEASON GLOBAL SOLUTIONS,DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60819676ae88e5182fc02995,686ec51658fcae111d4f576a,ALL SEASON GLOBAL SOLUTIONS,HOOKCONTAINER,False,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
60819676ae88e5182fc02995,65c2448cc02489359c0491a1,ALTUGLAS LLC,DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
